study_id,c3c4_start,garbage_start,is_whole_head,is_classifier_training,is_localizer_training
1,110,9999,0,1,1
2,106,9999,0,1,0
3,134,9999,0,1,0
4,208,9999,0,1,0
5,95,9999,0,1,0
6,159,200,0,1,0
7,203,9999,0,1,0
8,122,184,0,1,0
9,157,157,0,1,0
10,114,200,0,1,0
11,206,320,0,1,0
12,216,216,0,1,0
13,420,576,1,1,0
14,141,9999,0,1,0
15,210,304,0,1,0
16,225,296,0,1,0
17,58,9999,0,1,0
18,232,232,0,1,0
19,195,280,0,1,0
20,235,280,0,1,0
21,163,168,0,1,0
22,276,9999,1,1,0
23,333,9999,1,1,0
24,345,9999,0,0,0
25,192,9999,0,0,0
26,254,9999,0,0,0
27,91,9999,0,0,0
28,242,9999,0,0,0
29,275,9999,0,1,0
30,283,9999,0,1,0
31,127,9999,0,1,0
32,102,9999,0,1,0
33,157,9999,0,1,0
34,168,9999,0,1,0
35,195,9999,0,1,0
36,104,9999,0,1,0
37,202,9999,0,1,0
