study_id,slice_number,yesness
1,7,0%
1,8,0%
1,9,1%
1,10,1%
1,11,0%
1,12,1%
1,13,1%
1,14,1%
1,15,2%
1,16,2%
1,17,1%
1,18,1%
1,19,1%
1,20,1%
1,21,0%
1,22,0%
1,23,0%
1,24,1%
1,25,1%
1,26,0%
1,27,0%
1,28,0%
1,29,0%
1,30,0%
1,31,0%
1,32,1%
1,33,0%
1,34,2%
1,35,3%
1,36,4%
1,37,3%
1,38,4%
1,39,10%
1,40,4%
1,41,4%
1,42,5%
1,43,10%
1,44,3%
1,45,1%
1,46,2%
1,47,2%
1,48,2%
1,49,4%
1,50,4%
1,51,2%
1,52,3%
1,53,3%
1,54,2%
1,55,2%
1,56,2%
1,57,2%
1,58,1%
1,59,3%
1,60,4%
1,61,8%
1,62,7%
1,63,4%
1,64,7%
1,65,4%
1,66,11%
1,67,6%
1,68,8%
1,69,5%
1,70,6%
1,71,8%
1,72,8%
1,73,9%
1,74,9%
1,75,8%
1,76,11%
1,77,21%
1,78,13%
1,79,12%
1,80,14%
1,81,5%
1,82,14%
1,83,19%
1,84,14%
1,85,10%
1,86,11%
1,87,24%
1,88,17%
1,89,14%
1,90,20%
1,91,18%
1,92,13%
1,93,12%
1,94,31%
1,95,32%
1,96,22%
1,97,12%
1,98,10%
1,99,15%
1,100,58%
1,101,37%
1,102,32%
1,103,59%
1,104,58%
1,105,43%
1,106,46%
1,107,68%
1,108,90%
1,109,82%
1,110,83%
1,111,88%
1,112,87%
1,113,93%
1,114,93%
1,115,98%
1,116,97%
1,117,82%
1,118,88%
1,119,91%
1,120,92%
1,121,96%
1,122,97%
1,123,93%
1,124,86%
1,125,94%
1,126,83%
1,127,74%
1,128,89%
1,129,86%
1,130,99%
1,131,100%
1,132,100%
1,133,100%
1,134,100%
1,135,100%
1,136,100%
1,137,100%
1,138,100%
1,139,100%
1,140,99%
1,141,100%
1,142,99%
1,143,99%
1,144,100%
1,145,99%
1,146,97%
1,147,98%
1,148,96%
1,149,96%
1,150,99%
1,151,98%
1,152,99%
1,153,98%
1,154,96%
1,155,86%
1,156,96%
1,157,85%
1,158,89%
1,159,96%
1,160,75%
2,7,1%
2,8,1%
2,9,1%
2,10,1%
2,11,1%
2,12,0%
2,13,1%
2,14,2%
2,15,6%
2,16,11%
2,17,7%
2,18,1%
2,19,1%
2,20,0%
2,21,0%
2,22,0%
2,23,0%
2,24,0%
2,25,0%
2,26,0%
2,27,1%
2,28,1%
2,29,2%
2,30,1%
2,31,1%
2,32,1%
2,33,2%
2,34,1%
2,35,0%
2,36,1%
2,37,0%
2,38,0%
2,39,5%
2,40,1%
2,41,0%
2,42,0%
2,43,0%
2,44,1%
2,45,1%
2,46,1%
2,47,1%
2,48,3%
2,49,7%
2,50,9%
2,51,14%
2,52,13%
2,53,5%
2,54,2%
2,55,1%
2,56,1%
2,57,1%
2,58,0%
2,59,0%
2,60,0%
2,61,1%
2,62,0%
2,63,0%
2,64,2%
2,65,2%
2,66,2%
2,67,5%
2,68,4%
2,69,3%
2,70,2%
2,71,5%
2,72,7%
2,73,12%
2,74,13%
2,75,12%
2,76,13%
2,77,9%
2,78,6%
2,79,13%
2,80,15%
2,81,17%
2,82,29%
2,83,20%
2,84,30%
2,85,37%
2,86,49%
2,87,40%
2,88,29%
2,89,25%
2,90,38%
2,91,47%
2,92,41%
2,93,56%
2,94,48%
2,95,33%
2,96,27%
2,97,35%
2,98,38%
2,99,53%
2,100,45%
2,101,55%
2,102,56%
2,103,69%
2,104,79%
2,105,78%
2,106,93%
2,107,95%
2,108,93%
2,109,94%
2,110,93%
2,111,94%
2,112,93%
2,113,92%
2,114,96%
2,115,97%
2,116,98%
2,117,99%
2,118,99%
2,119,99%
2,120,99%
2,121,100%
2,122,99%
2,123,100%
2,124,100%
2,125,99%
2,126,99%
2,127,99%
2,128,99%
2,129,99%
2,130,99%
2,131,98%
2,132,99%
2,133,99%
2,134,99%
2,135,99%
2,136,99%
2,137,100%
2,138,100%
2,139,100%
2,140,100%
2,141,100%
2,142,100%
2,143,100%
2,144,100%
2,145,100%
2,146,100%
2,147,100%
2,148,100%
2,149,100%
2,150,100%
2,151,100%
2,152,100%
2,153,100%
2,154,100%
2,155,100%
2,156,100%
2,157,100%
2,158,100%
2,159,100%
2,160,100%
2,161,100%
2,162,100%
2,163,100%
2,164,100%
2,165,100%
2,166,100%
2,167,100%
2,168,100%
2,169,100%
2,170,100%
2,171,100%
2,172,100%
2,173,100%
2,174,100%
2,175,100%
2,176,100%
2,177,100%
2,178,99%
2,179,99%
2,180,100%
2,181,99%
2,182,95%
2,183,98%
2,184,99%
3,7,0%
3,8,0%
3,9,1%
3,10,0%
3,11,0%
3,12,0%
3,13,1%
3,14,0%
3,15,0%
3,16,0%
3,17,0%
3,18,1%
3,19,0%
3,20,1%
3,21,0%
3,22,0%
3,23,2%
3,24,1%
3,25,1%
3,26,4%
3,27,7%
3,28,6%
3,29,7%
3,30,3%
3,31,1%
3,32,1%
3,33,0%
3,34,2%
3,35,1%
3,36,4%
3,37,2%
3,38,3%
3,39,2%
3,40,4%
3,41,2%
3,42,4%
3,43,3%
3,44,2%
3,45,2%
